"eta","max_depth","nrounds","subsample","colsample_bytree","colsample_bylevel","importance.1","gain.1","importance.2","gain.2","importance.3","gain.3","mae"
0.05,12,750,1,1,1,"cat80_2",0.269281740564184,"cont14",0.0641162161226495,"cat12",0.0525994606275989,1148.97599355482
0.03,11,2000,1,1,1,"cat80_2",0.263486548714519,"cont14",0.0668663821928148,"cat12",0.051365910853995,1149.47139922246
0.05,11,1000,1,1,1,"cat80_2",0.269027115058776,"cont14",0.0648213540173518,"cat12",0.0521207090800128,1150.75114520518
0.05,9,2000,1,1,1,"cat80_2",0.268374383529815,"cont14",0.0677645368388647,"cat12",0.0514816249058735,1151.0757942517
0.05,12,1000,1,1,1,"cat80_2",0.25888811345591,"cont14",0.0678702399184751,"cat12",0.0506875147647678,1153.37866805995
0.05,10,2000,1,1,1,"cat80_2",0.255978779485078,"cont14",0.0709582959078214,"cat12",0.0494607156645621,1154.76768161962
0.03,12,2000,1,1,1,"cat80_2",0.254709073210822,"cont14",0.0690104348116149,"cat12",0.0500945920196808,1157.69100037937
0.05,11,2000,1,1,1,"cat80_2",0.247215892965702,"cont14",0.0734774991148558,"cat12",0.0481339047456066,1164.23771203469
0.02,10,250,1,1,1,"cat80_2",0.384986977419549,"cat12",0.0728901542152608,"cat79_2",0.047129281937152,1164.72712493646
0.02,11,250,1,1,1,"cat80_2",0.374584648484889,"cat12",0.0717580359766326,"cat79_2",0.0454429347215628,1164.90503588974
0.05,12,2000,1,1,1,"cat80_2",0.243884073792581,"cont14",0.0742605120552514,"cat12",0.0479186092692297,1165.52098765801
0.01,10,500,1,1,1,"cat80_2",0.384958742036446,"cat12",0.0730273149002037,"cat79_2",0.0473380145949404,1165.58330100174
0.02,12,250,1,1,1,"cat80_2",0.364612002265484,"cat12",0.0702214132580145,"cat79_2",0.0442258628824242,1165.67920042622
0.01,11,500,1,1,1,"cat80_2",0.375240590083948,"cat12",0.0717143643340633,"cat79_2",0.045645243378494,1165.79168932013
0.01,12,500,1,1,1,"cat80_2",0.365256974047468,"cat12",0.0702497879278701,"cat79_2",0.0442549203259063,1167.04969088931
0.02,9,250,1,1,1,"cat80_2",0.394161630811827,"cat12",0.073739012795827,"cat79_2",0.0491871472563981,1168.11350357759
0.01,9,500,1,1,1,"cat80_2",0.394108042982769,"cat12",0.0736916867294386,"cat79_2",0.0492096769139354,1169.00168800698
0.02,8,250,1,1,1,"cat80_2",0.400968894181624,"cat12",0.074487729918183,"cat79_2",0.0510793543842249,1173.23952759996
0.01,8,500,1,1,1,"cat80_2",0.401343092344245,"cat12",0.0744762144572696,"cat79_2",0.0509940507694912,1174.77614239139
0.01,12,250,1,1,1,"cat80_2",0.431818617414431,"cat12",0.0823601382314145,"cat79_2",0.050309077324842,1703.94331781662
0.01,11,250,1,1,1,"cat80_2",0.436178591515931,"cat12",0.0826025063737786,"cat79_2",0.0516240101905448,1704.27167615327
0.01,10,250,1,1,1,"cat80_2",0.440476047293681,"cat12",0.0828873420755788,"cat79_2",0.05322863391614,1706.03245973119
0.01,9,250,1,1,1,"cat80_2",0.445223798100356,"cat12",0.08240337874684,"cat79_2",0.0552590209541302,1709.08510598098
0.01,8,250,1,1,1,"cat80_2",0.449218525640935,"cat12",0.082470155870783,"cat79_2",0.0568582178188785,1713.8901866079
